Division,Name,Launch Date,Phase,Mass (kg),Mass (lb),Ha,Hp,Have,Mean Motion,
,"GOES-R satellites will comprise improved spacecraft and instrument technologies, which will result in more timely and accurate weather forecasts, and improve support for the detection and observations of meteorological phenomena that directly affect public safety, protection of property, and ultimately, ...",,,,,,,,,
Earth,GPM ,"20130701 July 01, 2013",Development,,,,,,,
,"GPM Constellation follows the success of Tropical Rainfall Measuring Mission (TRMM) in initiating the measurement of global precipitation, a key climate factor. Its science objectives are: to improve ongoing efforts to predict climate by providing near-global measurement of precipitation, its ...",,,,,,,,,
Earth,GRACE ,"20020317 March 17, 2002",Operating,,,,,,,
,The primary goal of the GRACE mission is to accurately map variations in the Earth's gravity field over its 5-year lifetime. This provides scientists from all over the world with an efficient and cost-effective way to map the Earth's gravity ...,,,Tracy note: 500 km x 500 km 89 deg incl 1074 lbs. There are actually two spacecraft: GRACE 1 and GRACE 2 ~200 km apart. ,,,,,,
Planetary,GRAIL ,"20110908 September 08, 2011",Development,,,,,,,
,The Gravity Recovery and Interior Laboratory (GRAIL) mission is a proposed Discovery Program mission to study the lunar interior. This mission is part of SMD's Discovery Program.,,,Tracy note: GRAIL did indeed launch but is headed for the moon via Eearth-sun L1. ,,,,,,
Astrophysics,Gravity Probe B (GP-B) ,"20040420 April 20, 2004",Past,,,,,,,
,"The GP-B satellite was designed as a pristine, space-borne laboratory, whose primary task was to use four ultra-precise gyroscopes to measure directly two effects predicted by general relativity.",,,,,,,,,
Earth,GRIP ,"20100815 August 15, 2010",Past,,,,,,,
,"The Genesis and Rapid Intensification Processes (GRIP) experiment is a NASA Earth science field experiment in 2010 that will be conducted to better understand how tropical storms form and develop into major hurricanes. NASA plans to use the DC-8 aircraft, ...",,,,,,,,,
Astrophysics,HALCA ,"19970212 February 12, 1997",Past,,,,,,,
,"HALCA is a spacecraft with a radio telescope in orbit to co-observe astronomical objects with radio telescopes on Earth. The project synthesizes a radio telescope as large as the size of the satellite’s orbit - about 40,000 kilometers.",,,,,,,,,
Planetary,Hayabusa ,"20030509 May 09, 2003",Past,,,,,,,
,The Hayabusa (formerly Muses-C) mission is to collect a surface sample of material from the small asteroid and return the sample to Earth for analysis.,,,,,,,,,
Astrophysics,Herschel ,"20090514 May 14, 2009",Operating,,,,,,,
,"The Herschel Space Observatory is a space-based telescope that will study the Universe by the light of the far-infrared and submillimeter portions of the spectrum. It is expected to reveal new information about the earliest, most distant stars and galaxies, ...",,,"Tracy note: 1,500,000 km orbit period is 1 year.",,,,,,
Astrophysics,HETE-2 ,"20001009 October 09, 2000",Past,,,,,,,
,The High Energy Transient Explorer is a small scientific satellite designed to detect and localize gamma-ray bursts.,,,,,,,,,
Heliophysics,Hinode (Solar-B) ,"20060923 September 23, 2006",Operating,,,,,,,
,"Hinode (formerly known as Solar-B) is a Japanese ISAS mission proposed as a follow-on to the highly successful Japan/US/UK Yohkoh (Solar-A) collaboration. The mission consists of a coordinated set of optical, EUV and X-ray instruments that are studying the interaction ...",,,Tracy note: 1542 lbs.,,,,,,
Astrophysics,Hipparcos ,"19890808 August 08, 1989",Past,,,,,,,
,"Hipparcos was a European Space Agency mission dedicated to the precise measurement of the positions, parallaxes and proper motions of the stars.",,,,,,,,,
Earth,HS3 ,20130801 August 2013,Development,,,,,,,
,"Close to 100 million Americans now live within 50 miles of a coastline, thus exposing them to the potential destruction caused by a landfalling hurricane. While hurricane track prediction has improved in recent decades, improvements in hurricane intensity prediction have ...",,,,,,,,,
Astrophysics,Hubble Space Telescope (HST) ,"19900424 April 24, 1990",Operating,,,,,,,
,"Hubble Space Telescope (HST), an ultraviolet, visible and infrared orbiting telescope, has expanded our understanding of star birth, star death, and galaxy evolution, and has helped move black holes from theory to fact. It has recorded over 100,000 images in ...",,,Tracy note: Was already on the list. No action. ,,,,,,
Heliophysics,IBEX ,"20081019 October 19, 2008",Operating,,,,,,,
,"IBEX will be the first mission designed to detect the edge of the Solar System. As the solar wind from the sun flows out beyond Pluto, it collides with the material between the stars, forming a shock front. This mission ...",,,"Tracy note: 300,000 km x 12,000 km 51.5 deg incl",,,,,,
Earth,ICESat ,"20030112 January 12, 2003",Past,,,,,,,
,"ICESat (Ice, Cloud, and land Elevation Satellite) is the benchmark Earth Observing System mission for measuring ice sheet mass balance, cloud and aerosol heights, as well as land topography and vegetation characteristics. This mission is part of SMD's Earth Systematic ...",,,,,,,,,
Earth,ICESat II ,"20160101 January 01, 2016",Development,,,,,,,
,"ICESat (Ice, Cloud,and land Elevation Satellite) is the benchmark Earth Observing System mission for measuring ice sheet mass balance, cloud and aerosol heights, as well as land topography and vegetation characteristics. This mission is part of SMD's Earth Systematic Missions ...",,,,,,,,,
Astrophysics,IEH-3 ,"19981029 October 29, 1998",Past,,,,,,,
,Seven experiments made up the IEH-3 payload on the STS-95 Space Shuttle mission. The seven hitchhiker experiments were attached to a carrier system in the bay of the Shuttle orbiter for the flight in space.,,,,,,,,,
Planetary,ILN ,"20180301 March 01, 2018",Under Study,,,,,,,
,"International Lunar Net-work (ILN), aims to provide an organizing theme for all landed science missions in the 2010s by involving each landed station as a node in a geophysical network. This mission is part of SMD's Robotic Lunar Exploration program.",,,,,,,,,
Heliophysics,IMAGE ,"20000325 March 25, 2000",Past,,,,,,,
,"IMAGE studied the global response of the magnetosphere to changes in the solar wind. Major changes occur to the configuration of the magnetosphere as a result of changes in and on the Sun, which in turn change the solar wind.",,,,,,,,,
Heliophysics,IMP-8 ,"19731026 October 26, 1973",Past,,,,,,,
,"IMP 8 has deepened understanding of the space environment near Earth in many ways. Observations from IMP 8 provided insight into plasma physics, the Earth's magnetic field, the structure of the solar wind and the nature of cosmic rays.",,,,,,,,,
Astrophysics,INTEGRAL ,"20021017 October 17, 2002",Operating,,,,,,,
,International Gamma-Ray Astrophysics Laboratory (INTEGRAL) seeks to unravel the secrets of the highest-energy - and therefore the most violent - phenomena in the Universe.,,,"Tracy note: 153,000 km x 13000 km ",,,,,,
Heliophysics,IRIS ,"20121201 December 01, 2012",Development,,,,,,,
,The primary goal of the Interface Region Imaging Spectrograph (IRIS) explorer is to understand how the solar atmosphere is energized. The IRIS investigation combines advanced numerical modeling with a high resolution UV imaging spectrograph.,,,,,,,,,
Heliophysics,ISEE ,"19780812 August 12, 1978",Past,,,,,,,
,The ISEE (International Sun-Earth Explorer) program was an international cooperative program between NASA and ESA to study the interaction of the solar wind with the Earth's magnetosphere.,,,,,,,,,
Astrophysics,ISO ,"19951117 November 17, 1995",Past,,,,,,,
,"The Infrared Space Observatory (ISO), a project of the European Space Agency (ESA), provided astronomers with a unique facility of unprecedented sensitivity for a detailed exploration of the universe ranging from objects in the solar system to the most distant ...",,,,,,,,,
Astrophysics,IUE ,"19780126 January 26, 1978",Past,,,,,,,
,The International Ultraviolet Explorer (IUE) satellite launched in 1978 and was a unique space observatory in that it was operated like a ground-based observatory. Astronomers came to the Telescope Operations Center and directed their observations while observatory staff members commanded ...,,,,,,,,,
Astrophysics,IXO ,,Under Study,,,,,,,
,"International X-ray Observatory (IXO) has been designed to perform X-ray spectroscopy with unprecedented sensitivity and spectral resolution, to determine the flow of gas in accretion disks around black holes in active galactic nuclei and in binary X-ray sources, to measure ...",,,,,,,,,
Earth,Jason-1 ,"20011207 December 07, 2001",Operating,,,,,,,
,"Jason is an oceanography mission to monitor global ocean circulation, improve global climate predictions, and monitor events such as El Nino conditions and ocean eddies. The Jason-1 satellite carries a radar altimeter, and it is a follow-on mission to the ...",,,There is the Jason-1 spacecraft as well as the Jason-2 spacecraft found on Spacetrack. Jason-1 weights 1102 lbs. Jason-2 weights 584 lbs and is ~1 m^3,,,,,,
Astrophysics,JDEM ,,Studied,,,,,,,
,"NASA and the U.S. Department of Energy will support a probe to investigate dark energy, the Joint Dark Energy Mission (JDEM). The Joint Dark Energy Mission will be an observatory containing a telescope and appropriate focal plane instruments. This mission ...",,,,,,,,,
Planetary,Juno ,"20110805 August 05, 2011",Development,,,,,,,
,The Juno mission is the next scientific investigation in the NASA New Frontiers Program. The mission's primary science goal is to significantly improve our understanding of the formation and structure of Jupiter.,,,,,,,,,
Astrophysics,JWST ,"20140601 June 01, 2014",Development,,,,,,,
,James Webb Space Telescope (formerly the Next Generation Space Telescope) is designed for observations in the far visible to the mid infrared part of the spectrum. JWST will probe the era when stars and galaxies started to form; it will ...,,,,,,,,,
Astrophysics,KAO ,"19750521 May 21, 1975",Past,,,,,,,
,"The Kuiper Airborne Observatory (KAO) is a national facility operated by NASA to support research in infrared astronomy. The observation platform is a highly modified C-141A jet transport aircraft with a range of 6000 nautical miles, capable of conducting research ...",,,,,,,,,
Astrophysics,Keck Interferometer (KI) ,,Operating,,,,,,,
,The Keck Interferometer is part of NASA's overall effort to find planets and ultimately life beyond our solar system. It combines the light from the twin Keck telescopes to make high resolution measurements of stars and galaxies and to measure ...,,,Tracy note: Ground Based,,,,,,
Astrophysics,Kepler ,"20090306 March 06, 2009",Operating,,,,,,,
,"The Kepler Mission, a NASA Discovery mission, is specifically designed to survey our region of the Milky Way Galaxy to detect and characterize hundreds of Earth-size and smaller planets in or nearby the habitable zone.",,,Tracy note: orbit is heliocentric which means way to high to be seen from the ground.,,,,,,
Planetary,LADEE ,"20130502 May 02, 2013",Development,,,,,,,
,Lunar Atmosphere and Dust Environment Explorer (LADEE) is a NASA mission that will orbit the Moon and its main objective is to characterize the atmosphere and lunar dust environment. This mission is part of SMD's Robotic Lunar Exploration program.,,,,,,,,,
Earth,LAGEOS 1&2 ,"19760504 May 04, 1976",Operating,,,,,,,
,"LAGEOS, or Laser Geodynamics Satellites, are a series of satellites designed to provide an orbiting benchmark for geodynamical studies of the Earth. LAGEOS 1 & 2 provide long-term data sets to monitor the motion of the Earth's tectonic plates; measure ...",,,Tracy note: orbit is 5900 km circular. 109 and 52 deg incl,,,,,,
Earth,Landsat 7 ,"19990415 April 15, 1999",Operating,,,,,,,
,"Landsat 7 systematically provides well-calibrated, multispectral, moderate resolution, substantially cloud-free, Sun-lit digital images of the Earth's continental and coastal areas with global coverage on a seasonal basis. It covers the United States every 16 days. Operations were transferred to USGS ...",,,,,,,,,
Astrophysics,LBTI ,,Development,,,,,,,
,The Large Binocular Telescope Interferometer (LBTI) is part of NASA's overall effort to find planets and ultimately life beyond our solar system. It will combine the light from the twin telescope mirrors to make high resolution measurements of stars and ...,,,,,,,,,
Earth,LDCM ,"20121201 December 01, 2012",Development,,,,,,,
,"LDCM is a joint NASA-United States Geological Survey (USGS) mission to extend the Landsat record of multispectral, 30-meter resolution, seasonal, global coverage of the Earth's land surface. The Land Remote Sensing Policy Act of 1992 directs NASA and USGS to ...",,,,,,,,,
Astrophysics,Leonid MAC ,"19981117 November 17, 1998",Past,,,,,,,
,Leonid MAC used two aircraft carrying a variety of instruments to examine the particles from the comet Tempel -Tuttle as well as the impact of these on the upper atmosphere.,,,,,,,,,
Astrophysics,LISA ,,Under Study,,,,,,,
